id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
246,Bajaj Pulsar 150,35000.0,2010,Individual,1st owner,40000,,14,8,2857.143,238.095,Bajaj
247,TVS Centra,10000.0,2005,Individual,1st owner,50000,,19,10,2631.579,219.298,TVS
248,Honda Activa 3G,42000.0,2015,Individual,1st owner,20000,54605.0,9,4,2222.222,185.185,Honda
249,Yamaha FZ16,20000.0,2009,Individual,1st owner,50000,78712.0,15,10,3333.333,277.778,Yamaha
250,Hero Maestro Edge,25000.0,2017,Individual,1st owner,55000,52790.0,7,11,7857.143,654.762,Hero
251,Bajaj Discover 125,25000.0,2016,Individual,1st owner,70350,60122.0,8,15,8793.75,732.812,Bajaj
252,Royal Enfield Thunderbird 350X,145000.0,2019,Individual,1st owner,2700,164004.0,5,1,540.0,45.0,Royal Enfield
253,Hero Super Splendor,50000.0,2016,Individual,1st owner,20000,,8,4,2500.0,208.333,Hero
254,TVS Scooty Pep Plus,30000.0,2011,Individual,1st owner,20000,,13,4,1538.462,128.205,TVS
255,Yamaha FZ V 2.0,60000.0,2014,Individual,1st owner,41311,81508.0,10,9,4131.1,344.258,Yamaha
256,Hero Honda Splendor Plus,15000.0,2005,Individual,1st owner,65000,,19,13,3421.053,285.088,Hero Honda
257,Hero CD Deluxe,15000.0,2014,Individual,2nd owner,34000,,10,7,3400.0,283.333,Hero
258,Hero Honda Passion PRO [2012],25000.0,2011,Individual,1st owner,20000,,13,4,1538.462,128.205,Hero Honda
259,Hero HF Deluxe i3s,54000.0,2019,Individual,1st owner,11000,,5,3,2200.0,183.333,Hero
260,Bajaj Xcd,25000.0,2007,Individual,1st owner,75000,,17,15,4411.765,367.647,Bajaj
261,Royal Enfield Interceptor 650,260000.0,2019,Individual,1st owner,1200,,5,1,240.0,20.0,Royal Enfield
262,Honda CBR-250R,100000.0,2014,Individual,1st owner,19000,199275.0,10,4,1900.0,158.333,Honda
263,Bajaj Kristal,15000.0,2007,Individual,1st owner,30000,,17,6,1764.706,147.059,Bajaj
264,Hero Honda Splendor Plus,20000.0,2006,Individual,1st owner,23000,,18,5,1277.778,106.481,Hero Honda
265,Honda Dream Yuga,35000.0,2014,Individual,1st owner,10000,56147.0,10,2,1000.0,83.333,Honda
266,Yamaha FZ S V 2.0,50000.0,2016,Individual,1st owner,40000,87042.0,8,8,5000.0,416.667,Yamaha
267,Hero Xpulse 200,90000.0,2019,Individual,1st owner,8600,107500.0,5,2,1720.0,143.333,Hero
268,Bajaj V15,40000.0,2016,Individual,1st owner,45000,67187.0,8,9,5625.0,468.75,Bajaj
269,Bajaj Avenger Street 220,80000.0,2016,Individual,1st owner,7200,95955.0,8,2,900.0,75.0,Bajaj
270,Bajaj Discover 135,20000.0,2010,Individual,1st owner,31195,,14,7,2228.214,185.684,Bajaj
271,Honda CB Unicorn 150,70000.0,2017,Individual,1st owner,18000,74295.0,7,4,2571.429,214.286,Honda
272,Vespa SXL 149,98000.0,2019,Individual,1st owner,1000,,5,1,200.0,16.667,Vespa
273,Royal Enfield Machismo,75000.0,2008,Individual,2nd owner,17000,,16,4,1062.5,88.542,Royal Enfield
274,Honda CB Shine SP,50000.0,2016,Individual,1st owner,46000,67214.0,8,10,5750.0,479.167,Honda
275,Honda CB Unicorn 150,40000.0,2014,Individual,1st owner,77592,74295.0,10,16,7759.2,646.6,Honda
276,Honda CB Unicorn 150,75000.0,2013,Individual,1st owner,54000,74295.0,11,11,4909.091,409.091,Honda
277,Honda CB Unicorn 150,50000.0,2013,Individual,1st owner,17000,74295.0,11,4,1545.455,128.788,Honda
278,Bajaj Pulsar 150,60000.0,2014,Individual,1st owner,60000,,10,12,6000.0,500.0,Bajaj
279,TVS Apache RTR 160,50000.0,2016,Individual,1st owner,40000,,8,8,5000.0,416.667,TVS
280,Honda Dio,35000.0,2014,Individual,1st owner,25000,,10,5,2500.0,208.333,Honda
281,Royal Enfield Thunderbird 350,160000.0,2018,Individual,1st owner,19000,,6,4,3166.667,263.889,Royal Enfield
282,Hero Maestro,25000.0,2015,Individual,2nd owner,40000,49412.0,9,8,4444.444,370.37,Hero
283,Hero Honda CBZ extreme,42000.0,2010,Individual,1st owner,51000,,14,11,3642.857,303.571,Hero Honda
284,Bajaj Dominar 400,200000.0,2019,Individual,1st owner,7600,,5,2,1520.0,126.667,Bajaj
285,Honda Activa 125,40000.0,2014,Individual,1st owner,14965,,10,3,1496.5,124.708,Honda
286,Royal Enfield Classic Desert Storm,130000.0,2015,Individual,2nd owner,25000,181445.0,9,5,2777.778,231.481,Royal Enfield
287,KTM 250 Duke,195000.0,2019,Individual,1st owner,6000,,5,2,1200.0,100.0,KTM
288,KTM RC 390,270000.0,2019,Individual,1st owner,2380,,5,1,476.0,39.667,KTM
289,Kawasaki Ninja 650 [2018-2019],425000.0,2017,Individual,2nd owner,13600,599000.0,7,3,1942.857,161.905,Kawasaki
290,TVS Apache RTR 200 4V,85000.0,2018,Individual,1st owner,10000,,6,2,1666.667,138.889,TVS
291,Kawasaki Ninja 250R,125000.0,2010,Individual,2nd owner,21000,317934.0,14,5,1500.0,125.0,Kawasaki
292,TVS Wego,45000.0,2018,Individual,1st owner,10000,54760.0,6,2,1666.667,138.889,TVS
293,Honda CBR-250R,85000.0,2014,Individual,2nd owner,18600,171646.0,10,4,1860.0,155.0,Honda
294,Bajaj Pulsar NS200,85000.0,2018,Individual,1st owner,7750,,6,2,1291.667,107.639,Bajaj
295,Suzuki GSX S750,760000.0,2019,Individual,1st owner,2800,752020.0,5,1,560.0,46.667,Suzuki
296,Royal Enfield Thunderbird 350,100000.0,2015,Individual,1st owner,30000,,9,6,3333.333,277.778,Royal Enfield
297,Royal Enfield Classic 350,95000.0,2015,Individual,1st owner,9800,,9,2,1088.889,90.741,Royal Enfield
298,Honda CB Shine SP,48000.0,2015,Individual,1st owner,25000,67469.0,9,5,2777.778,231.481,Honda
299,Bajaj Avenger Street 150 [2018],40000.0,2016,Individual,1st owner,29689,80435.0,8,6,3711.125,309.26,Bajaj
300,Honda CBF Stunner,37000.0,2014,Individual,1st owner,43000,58757.0,10,9,4300.0,358.333,Honda
301,Bajaj Avenger [2015],38000.0,2014,Individual,2nd owner,28243,75502.0,10,6,2824.3,235.358,Bajaj
302,Suzuki Gixxer [2014-2018],55000.0,2015,Individual,1st owner,25000,78316.0,9,5,2777.778,231.481,Suzuki
303,Suzuki Access 125,45000.0,2017,Individual,1st owner,22300,,7,5,3185.714,265.476,Suzuki
304,TVS Scooty Streak,18000.0,2009,Individual,2nd owner,33595,44140.0,15,7,2239.667,186.639,TVS
305,Royal Enfield Thunderbird 350X,140000.0,2018,Individual,1st owner,5505,,6,2,917.5,76.458,Royal Enfield
306,Yamaha Rx,70000.0,2000,Individual,3rd owner,5000,,24,1,208.333,17.361,Yamaha
307,Hero Honda Splendor Plus,15000.0,2007,Individual,1st owner,30000,,17,6,1764.706,147.059,Hero Honda
308,Bajaj Pulsar 125,65000.0,2019,Individual,1st owner,16000,,5,4,3200.0,266.667,Bajaj
309,Honda Activa 5G,42000.0,2018,Individual,1st owner,22000,57557.0,6,5,3666.667,305.556,Honda
310,Yamaha Fazer Dlx,58000.0,2012,Individual,1st owner,40000,,12,8,3333.333,277.778,Yamaha
311,Harley-Davidson Street 750,330000.0,2014,Individual,4th owner,6500,534000.0,10,2,650.0,54.167,Harley-Davidson
312,Hero Xtreme 2014,35000.0,2013,Individual,1st owner,15000,72973.0,11,3,1363.636,113.636,Hero
313,Royal Enfield Classic 350,162000.0,2018,Individual,1st owner,17365,,6,4,2894.167,241.181,Royal Enfield
314,Hero Honda Hunk,28000.0,2009,Individual,1st owner,40000,,15,8,2666.667,222.222,Hero Honda
315,Royal Enfield Interceptor 650,285000.0,2019,Individual,1st owner,5500,,5,2,1100.0,91.667,Royal Enfield
316,Royal Enfield Classic 350,125000.0,2017,Individual,1st owner,33900,,7,7,4842.857,403.571,Royal Enfield
317,Bajaj Pulsar 150 [2001-2011],15000.0,2005,Individual,1st owner,47670,,19,10,2508.947,209.079,Bajaj
318,Honda Activa [2000-2015],29500.0,2013,Individual,1st owner,45000,50267.0,11,9,4090.909,340.909,Honda
319,TVS Apache RR310,200000.0,2019,Individual,1st owner,5000,,5,1,1000.0,83.333,TVS
320,Jawa Standard,160000.0,2019,Individual,1st owner,5700,,5,2,1140.0,95.0,Jawa
321,Hero Honda Splendor PRO,30000.0,2012,Individual,1st owner,22866,,12,5,1905.5,158.792,Hero Honda
322,Yamaha FZ25,110000.0,2019,Individual,1st owner,10000,133680.0,5,2,2000.0,166.667,Yamaha
323,Bajaj Pulsar 220F,70000.0,2016,Individual,1st owner,31000,,8,7,3875.0,322.917,Bajaj
324,Yamaha Fascino 110,69000.0,2019,Individual,1st owner,1600,57112.0,5,1,320.0,26.667,Yamaha
325,Yamaha FZ16,30000.0,2011,Individual,1st owner,44000,78712.0,13,9,3384.615,282.051,Yamaha
326,Yamaha FZ16,30000.0,2010,Individual,1st owner,70000,78712.0,14,14,5000.0,416.667,Yamaha
327,TVS Star City Plus,42000.0,2017,Individual,1st owner,21000,,7,5,3000.0,250.0,TVS
328,Royal Enfield Classic 350,160000.0,2018,Individual,1st owner,17365,,6,4,2894.167,241.181,Royal Enfield
329,Bajaj Pulsar 135 LS,20000.0,2010,Individual,1st owner,80000,64589.0,14,16,5714.286,476.19,Bajaj
330,Suzuki Access 125,45000.0,2017,Individual,1st owner,15000,,7,3,2142.857,178.571,Suzuki
331,Bajaj Pulsar 135 LS,23000.0,2010,Individual,1st owner,77000,64589.0,14,16,5500.0,458.333,Bajaj
332,UM Renegade Commando,140000.0,2017,Individual,2nd owner,40000,180525.0,7,8,5714.286,476.19,UM
333,Hero Honda Splendor Plus,12000.0,2005,Individual,1st owner,48000,,19,10,2526.316,210.526,Hero Honda
334,Hero Passion PRO i3s,50000.0,2017,Individual,1st owner,18000,56925.0,7,4,2571.429,214.286,Hero
335,Royal Enfield Classic 350,140000.0,2018,Individual,1st owner,20000,,6,4,3333.333,277.778,Royal Enfield
336,Honda Activa 5G,55000.0,2019,Individual,1st owner,9000,59422.0,5,2,1800.0,150.0,Honda
337,Yamaha Fascino 110,45000.0,2016,Individual,1st owner,56000,54500.0,8,12,7000.0,583.333,Yamaha
338,Hero Splendor Plus,25000.0,2012,Individual,1st owner,50000,,12,10,4166.667,347.222,Hero
339,Royal Enfield Thunderbird 350,90000.0,2014,Individual,1st owner,12000,,10,3,1200.0,100.0,Royal Enfield
340,Yamaha YZF R15 V3,120000.0,2018,Individual,1st owner,11500,,6,3,1916.667,159.722,Yamaha
341,KTM RC 200,120000.0,2015,Individual,1st owner,20000,,9,4,2222.222,185.185,KTM
342,TVS Radeon,35000.0,2017,Individual,1st owner,20000,66492.0,7,4,2857.143,238.095,TVS
343,Hero HF Deluxe,35000.0,2017,Individual,1st owner,27000,,7,6,3857.143,321.429,Hero
344,BMW G310GS,300000.0,2018,Individual,1st owner,2500,349000.0,6,1,416.667,34.722,BMW
345,Royal Enfield Thunderbird 350,87000.0,2012,Individual,1st owner,20477,,12,5,1706.417,142.201,Royal Enfield
346,Hero Honda Splendor Plus,18000.0,2010,Individual,1st owner,35700,,14,8,2550.0,212.5,Hero Honda
347,Yamaha FZ S V 2.0,50000.0,2014,Individual,1st owner,70000,84042.0,10,14,7000.0,583.333,Yamaha
348,Bajaj Avenger Street 220,60000.0,2016,Individual,1st owner,29000,95955.0,8,6,3625.0,302.083,Bajaj
349,Hero Honda Splendor Plus,15000.0,2004,Individual,1st owner,14500,,20,3,725.0,60.417,Hero Honda
350,Bajaj Platina 100,30000.0,2018,Individual,1st owner,37000,,6,8,6166.667,513.889,Bajaj
351,Royal Enfield Thunderbird 350X,160000.0,2018,Individual,1st owner,3246,,6,1,541.0,45.083,Royal Enfield
352,Honda CB Unicorn 150,50000.0,2016,Individual,1st owner,27000,74295.0,8,6,3375.0,281.25,Honda
353,Suzuki Gixxer [2014-2018],62000.0,2017,Individual,1st owner,15000,78316.0,7,3,2142.857,178.571,Suzuki
354,Bajaj Platina 100,45000.0,2019,Individual,1st owner,15000,,5,3,3000.0,250.0,Bajaj
355,Royal Enfield Thunderbird 350,120000.0,2017,Individual,1st owner,4050,,7,1,578.571,48.214,Royal Enfield
356,Royal Enfield Thunderbird 500,125000.0,2014,Individual,1st owner,25000,190874.0,10,5,2500.0,208.333,Royal Enfield
357,Bajaj Pulsar AS150,50000.0,2015,Individual,1st owner,5000,80821.0,9,1,555.556,46.296,Bajaj
358,Bajaj Pulsar 150,30000.0,2012,Individual,2nd owner,5000,,12,1,416.667,34.722,Bajaj
359,Hero Pleasure,40000.0,2014,Individual,1st owner,14000,51600.0,10,3,1400.0,116.667,Hero
360,Honda Aviator,41000.0,2013,Individual,1st owner,36500,63537.0,11,8,3318.182,276.515,Honda
361,Royal Enfield Thunderbird 350,120000.0,2017,Individual,2nd owner,9000,,7,2,1285.714,107.143,Royal Enfield
362,Hero Ignitor,35000.0,2014,Individual,1st owner,33200,67722.0,10,7,3320.0,276.667,Hero
363,Hero Honda CD100SS,10000.0,1997,Individual,1st owner,646000,,27,130,23925.926,1993.827,Hero Honda
364,TVS Apache RTR 160,35000.0,2011,Individual,1st owner,25000,,13,5,1923.077,160.256,TVS
365,Hero Achiever 150,38000.0,2017,Individual,1st owner,26000,69750.0,7,6,3714.286,309.524,Hero
366,Vespa LX 125,50000.0,2015,Individual,1st owner,3909,77900.0,9,1,434.333,36.194,Vespa
367,Honda Activa 3G,40000.0,2015,Individual,1st owner,7672,54605.0,9,2,852.444,71.037,Honda
368,Hero Splendor Plus i3s,70000.0,2019,Individual,1st owner,3000,55600.0,5,1,600.0,50.0,Hero
369,Royal Enfield Classic 350,140000.0,2016,Individual,1st owner,3654,,8,1,456.75,38.062,Royal Enfield
370,Hero Maestro,26500.0,2016,Individual,2nd owner,40000,53830.0,8,8,5000.0,416.667,Hero
371,Hero Glamour 125,38000.0,2016,Dealer,1st owner,5500,61600.0,8,2,687.5,57.292,Hero
372,Yamaha FZ16,60000.0,2016,Individual,1st owner,29950,78712.0,8,6,3743.75,311.979,Yamaha
373,Royal Enfield Himalayan,145000.0,2017,Individual,1st owner,14000,,7,3,2000.0,166.667,Royal Enfield
374,Yamaha FZ S V 2.0,78000.0,2017,Individual,1st owner,26100,84480.0,7,6,3728.571,310.714,Yamaha
375,Hero Maestro Edge,58000.0,2018,Individual,1st owner,6000,54580.0,6,2,1000.0,83.333,Hero
376,Yamaha FZ25,130000.0,2017,Individual,1st owner,4000,132680.0,7,1,571.429,47.619,Yamaha
377,TVS Victor,20000.0,2001,Individual,1st owner,50000,54852.0,23,10,2173.913,181.159,TVS
378,Bajaj Dominar 400 [2018],150000.0,2018,Individual,1st owner,5475,163331.0,6,2,912.5,76.042,Bajaj
379,Bajaj Pulsar 180,32000.0,2012,Individual,1st owner,40000,85011.0,12,8,3333.333,277.778,Bajaj
380,Bajaj Pulsar 180,50000.0,2017,Individual,1st owner,20500,85011.0,7,5,2928.571,244.048,Bajaj
381,KTM 200 Duke,120000.0,2017,Individual,1st owner,4100,,7,1,585.714,48.81,KTM
382,Bajaj Avenger Street 150 [2018],60000.0,2016,Individual,2nd owner,23097,80435.0,8,5,2887.125,240.594,Bajaj
383,Bajaj Discover 100 M,20000.0,2011,Individual,1st owner,37734,44756.0,13,8,2902.615,241.885,Bajaj
384,Royal Enfield Bullet 350 [2007-2011],65000.0,2011,Individual,2nd owner,65000,,13,13,5000.0,416.667,Royal Enfield
385,Yamaha YZF R15 S,70000.0,2016,Individual,1st owner,8000,117926.0,8,2,1000.0,83.333,Yamaha
386,Yamaha FZ V 2.0,35000.0,2014,Individual,1st owner,13500,81508.0,10,3,1350.0,112.5,Yamaha
387,Bajaj Avenger Street 220,95000.0,2018,Individual,1st owner,23000,95955.0,6,5,3833.333,319.444,Bajaj
388,Bajaj Pulsar 150,8000.0,2005,Individual,1st owner,58000,,19,12,3052.632,254.386,Bajaj
389,Royal Enfield Thunderbird 350,85000.0,2010,Individual,1st owner,15000,,14,3,1071.429,89.286,Royal Enfield
390,Hero Achiever 150,65000.0,2016,Individual,1st owner,29000,69750.0,8,6,3625.0,302.083,Hero
391,Hero Passion Pro 110,39000.0,2013,Individual,1st owner,20000,,11,4,1818.182,151.515,Hero
392,Hero Duet,45000.0,2017,Individual,1st owner,35000,50280.0,7,7,5000.0,416.667,Hero
393,Bajaj Avenger Street 150 [2018],60000.0,2016,Individual,1st owner,45137,80435.0,8,10,5642.125,470.177,Bajaj
394,Royal Enfield Classic Stealth Black,160000.0,2018,Individual,1st owner,7500,204977.0,6,2,1250.0,104.167,Royal Enfield
395,Bajaj Pulsar 150,35000.0,2011,Individual,1st owner,35600,,13,8,2738.462,228.205,Bajaj
396,Bajaj Pulsar 135 LS,40000.0,2018,Individual,1st owner,15000,64589.0,6,3,2500.0,208.333,Bajaj
397,Yamaha Fazer [2009-2016],40000.0,2012,Individual,1st owner,7353,84751.0,12,2,612.75,51.062,Yamaha
398,Honda CB Hornet 160R,56000.0,2017,Individual,2nd owner,13200,87543.0,7,3,1885.714,157.143,Honda
399,Honda CB Unicorn Dazzler,22000.0,2011,Individual,1st owner,38350,71757.0,13,8,2950.0,245.833,Honda
400,Yamaha YBR 125,36000.0,2014,Individual,1st owner,20400,54593.0,10,5,2040.0,170.0,Yamaha
401,Suzuki Intruder 150 Fi,100000.0,2018,Individual,1st owner,14500,110240.0,6,3,2416.667,201.389,Suzuki
402,Bajaj V15,42000.0,2016,Individual,1st owner,19500,67187.0,8,4,2437.5,203.125,Bajaj
403,Royal Enfield Electra 5 S,85000.0,2008,Individual,1st owner,20000,,16,4,1250.0,104.167,Royal Enfield
404,Hero Passion PRO TR,45000.0,2014,Individual,1st owner,36000,54586.0,10,8,3600.0,300.0,Hero
405,Yamaha FZ25,145000.0,2019,Individual,1st owner,4500,133680.0,5,1,900.0,75.0,Yamaha
406,Hero Karizma [2003-2014],50000.0,2013,Individual,1st owner,38000,85766.0,11,8,3454.545,287.879,Hero
407,Royal Enfield Interceptor 650,270000.0,2019,Individual,1st owner,9000,,5,2,1800.0,150.0,Royal Enfield
408,Royal Enfield Thunderbird 350,60000.0,2006,Individual,1st owner,40000,,18,8,2222.222,185.185,Royal Enfield
409,Royal Enfield Classic Squadron Blue,140000.0,2017,Individual,1st owner,25000,181445.0,7,5,3571.429,297.619,Royal Enfield
410,Hero Honda Splendor Plus,28000.0,2008,Individual,1st owner,70889,,16,15,4430.562,369.214,Hero Honda
411,KTM 390 Duke ABS [2013-2016],180000.0,2015,Individual,2nd owner,13125,202127.0,9,3,1458.333,121.528,KTM
412,Bajaj Pulsar 180,42000.0,2014,Individual,2nd owner,19600,85011.0,10,4,1960.0,163.333,Bajaj
413,Suzuki Access 125 [2007-2016],16000.0,2011,Individual,1st owner,40000,58314.0,13,8,3076.923,256.41,Suzuki
414,Hero Splendor iSmart,40000.0,2015,Individual,1st owner,19055,52271.0,9,4,2117.222,176.435,Hero
415,Bajaj Pulsar 180,38000.0,2012,Individual,2nd owner,57000,85011.0,12,12,4750.0,395.833,Bajaj
416,Yamaha YZF R15 S,85000.0,2017,Individual,1st owner,13000,117926.0,7,3,1857.143,154.762,Yamaha
417,Honda Aviator,28000.0,2013,Individual,1st owner,28087,63537.0,11,6,2553.364,212.78,Honda
418,KTM 200 Duke,135000.0,2018,Individual,1st owner,24000,,6,5,4000.0,333.333,KTM
419,Royal Enfield Thunderbird 350,120000.0,2016,Individual,1st owner,24600,,8,5,3075.0,256.25,Royal Enfield
420,Hero Karizma ZMR,37000.0,2010,Individual,1st owner,27500,108000.0,14,6,1964.286,163.691,Hero
421,Royal Enfield Classic Chrome,135000.0,2015,Individual,1st owner,45000,189313.0,9,9,5000.0,416.667,Royal Enfield
422,Hero Honda Splendor,10000.0,2000,Individual,1st owner,61000,,24,13,2541.667,211.806,Hero Honda
423,Mahindra Rodeo,20000.0,2013,Individual,1st owner,7000,47343.0,11,2,636.364,53.03,Mahindra
424,TVS Apache RTR 160,83299.0,2019,Individual,1st owner,6400,,5,2,1280.0,106.667,TVS
425,Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2018,Individual,1st owner,3500,89643.0,6,1,583.333,48.611,Yamaha
426,Honda Activa 5G,50000.0,2018,Individual,1st owner,14000,59422.0,6,3,2333.333,194.444,Honda
427,Bajaj Pulsar 220 Fi,65000.0,2013,Individual,1st owner,6409,,11,2,582.636,48.553,Bajaj
428,Hero Honda Karizma ZMR [2010],45000.0,2012,Individual,3rd owner,44000,,12,9,3666.667,305.556,Hero Honda
429,Honda CB Hornet 160R,60000.0,2017,Individual,1st owner,16500,92210.0,7,4,2357.143,196.429,Honda
430,Royal Enfield Bullet 350,110000.0,2015,Individual,1st owner,36000,,9,8,4000.0,333.333,Royal Enfield
431,Hero Honda CD Deluxe,14700.0,2005,Individual,2nd owner,30000,,19,6,1578.947,131.579,Hero Honda
432,Yamaha Saluto,38000.0,2015,Individual,1st owner,15000,63180.0,9,3,1666.667,138.889,Yamaha
433,Suzuki Access 125,70000.0,2018,Individual,1st owner,14500,,6,3,2416.667,201.389,Suzuki
434,TVS Sport,35000.0,2018,Individual,1st owner,26600,,6,6,4433.333,369.444,TVS
435,Hero Honda Glamour,19000.0,2012,Individual,1st owner,32000,,12,7,2666.667,222.222,Hero Honda
436,KTM 125 Duke,130000.0,2019,Individual,1st owner,3500,,5,1,700.0,58.333,KTM
437,Bajaj Pulsar NS200,50000.0,2013,Dealer,1st owner,58203,,11,12,5291.182,440.932,Bajaj
438,Bajaj Pulsar 150 [2001-2011],18000.0,2005,Individual,1st owner,21885,,19,5,1151.842,95.987,Bajaj
439,Hero Xtreme 200R,87000.0,2019,Individual,1st owner,3200,93400.0,5,1,640.0,53.333,Hero
440,Hero Honda Splendor Plus,40000.0,2007,Individual,1st owner,40000,,17,8,2352.941,196.078,Hero Honda
441,Bajaj Discover 150S,35000.0,2015,Individual,1st owner,28000,63331.0,9,6,3111.111,259.259,Bajaj
442,Honda CBR-250R,100000.0,2011,Individual,2nd owner,3500,171646.0,13,1,269.231,22.436,Honda
443,Hero Pleasure,30000.0,2013,Individual,1st owner,24000,51600.0,11,5,2181.818,181.818,Hero
444,Bajaj Avenger Cruise 220,95000.0,2018,Individual,1st owner,1800,,6,1,300.0,25.0,Bajaj
445,Bajaj Discover 125 ST,25000.0,2012,Individual,1st owner,76000,58438.0,12,16,6333.333,527.778,Bajaj
446,Bajaj Pulsar 150 [2001-2011],26500.0,2010,Individual,1st owner,52500,,14,11,3750.0,312.5,Bajaj
447,Bajaj Boxer,12000.0,2008,Individual,1st owner,17500,,16,4,1093.75,91.146,Bajaj
448,Bajaj Pulsar 150,20000.0,2006,Individual,1st owner,41000,,18,9,2277.778,189.815,Bajaj
449,Royal Enfield Classic Signals,195000.0,2018,Individual,1st owner,2845,164095.0,6,1,474.167,39.514,Royal Enfield
450,Bajaj Pulsar 180,14900.0,2007,Individual,1st owner,50000,85011.0,17,10,2941.176,245.098,Bajaj
451,Honda Dream Yuga,48000.0,2018,Individual,1st owner,7110,56147.0,6,2,1185.0,98.75,Honda
452,Yamaha FZ S [2012-2016],40000.0,2014,Individual,1st owner,27785,79432.0,10,6,2778.5,231.542,Yamaha
453,Honda CB Unicorn,45000.0,2010,Individual,1st owner,75000,71681.0,14,15,5357.143,446.429,Honda
454,Honda Shine,25000.0,2010,Individual,1st owner,20000,,14,4,1428.571,119.048,Honda
455,Honda Activa 3G,25000.0,2011,Individual,1st owner,20000,54605.0,13,4,1538.462,128.205,Honda
456,Honda Activa [2000-2015],10000.0,2009,Individual,1st owner,60000,50267.0,15,12,4000.0,333.333,Honda
457,Mahindra Flyte,22000.0,2009,Individual,3rd owner,20000,44493.0,15,4,1333.333,111.111,Mahindra
458,Honda Activa 3G,45000.0,2015,Individual,1st owner,18000,54605.0,9,4,2000.0,166.667,Honda
459,KTM 250 Duke,135000.0,2017,Individual,1st owner,16500,,7,4,2357.143,196.429,KTM
460,Yamaha Ray Z,75000.0,2017,Individual,1st owner,15000,52949.0,7,3,2142.857,178.571,Yamaha
461,Bajaj Pulsar 135 LS,24000.0,2010,Individual,1st owner,45000,64589.0,14,9,3214.286,267.857,Bajaj
462,Yamaha FZ16,45000.0,2016,Individual,1st owner,37000,78712.0,8,8,4625.0,385.417,Yamaha
463,Hero Passion PRO i3s,55000.0,2017,Individual,1st owner,14600,54475.0,7,3,2085.714,173.809,Hero
464,Bajaj Discover 125,10000.0,2006,Individual,1st owner,51000,57549.0,18,11,2833.333,236.111,Bajaj
465,Royal Enfield Classic 350,135000.0,2017,Individual,1st owner,15000,,7,3,2142.857,178.571,Royal Enfield
466,Honda CB Unicorn 150,55000.0,2017,Individual,1st owner,12000,74295.0,7,3,1714.286,142.857,Honda
467,Bajaj Avenger [2015],35000.0,2012,Individual,1st owner,15000,75502.0,12,3,1250.0,104.167,Bajaj
468,Bajaj Super,20000.0,1988,Individual,1st owner,21000,,36,5,583.333,48.611,Bajaj
469,Bajaj Pulsar 150,26000.0,2012,Individual,2nd owner,65000,,12,13,5416.667,451.389,Bajaj
470,Honda Activa [2000-2015],23000.0,2009,Individual,1st owner,95000,50267.0,15,19,6333.333,527.778,Honda
471,Royal Enfield Classic Desert Storm,150000.0,2015,Individual,1st owner,23000,181445.0,9,5,2555.556,212.963,Royal Enfield
472,Hero Honda CD Deluxe,24700.0,2012,Individual,2nd owner,40000,,12,8,3333.333,277.778,Hero Honda
473,Hero Duet,35000.0,2016,Individual,2nd owner,49637,54080.0,8,10,6204.625,517.052,Hero
474,Hero Honda Passion PRO [2012],12000.0,2012,Individual,1st owner,90000,,12,18,7500.0,625.0,Hero Honda
475,Royal Enfield Classic 350,150000.0,2017,Individual,1st owner,7000,,7,2,1000.0,83.333,Royal Enfield
476,Honda Activa 3G,50000.0,2016,Individual,1st owner,5326,54605.0,8,2,665.75,55.479,Honda
477,Honda Activa [2000-2015],25000.0,2009,Individual,1st owner,585659,50267.0,15,118,39043.933,3253.661,Honda
478,Hero Honda CD100,15000.0,1999,Dealer,2nd owner,10000,,25,2,400.0,33.333,Hero Honda
479,Hero Super Splendor,35000.0,2014,Individual,2nd owner,37541,,10,8,3754.1,312.842,Hero
480,Honda CB Trigger,45000.0,2015,Individual,1st owner,36000,83437.0,9,8,4000.0,333.333,Honda
481,Honda Dream Yuga,25000.0,2013,Individual,1st owner,29000,56147.0,11,6,2636.364,219.697,Honda
482,Hero Honda Passion Plus,40000.0,2018,Individual,1st owner,29000,,6,6,4833.333,402.778,Hero Honda
483,TVS Spectra,17000.0,2008,Individual,1st owner,50000,,16,10,3125.0,260.417,TVS
484,Hero Ignitor,30000.0,2016,Individual,1st owner,18000,67722.0,8,4,2250.0,187.5,Hero
485,Hero Honda CD100,15000.0,2000,Individual,1st owner,50000,,24,10,2083.333,173.611,Hero Honda
486,Bajaj Pulsar 220F,60000.0,2017,Individual,2nd owner,40000,,7,8,5714.286,476.19,Bajaj
487,Hero Splendor Plus,30000.0,2013,Individual,1st owner,20000,,11,4,1818.182,151.515,Hero
488,Yamaha YZF R15 [2011-2018],60000.0,2012,Individual,1st owner,22000,118997.0,12,5,1833.333,152.778,Yamaha
489,Honda Activa 3G,32000.0,2015,Individual,1st owner,4500,54605.0,9,1,500.0,41.667,Honda
490,Bajaj Discover 150,30000.0,2012,Individual,1st owner,50000,54299.0,12,10,4166.667,347.222,Bajaj
491,Bajaj Pulsar 150 [2001-2011],55000.0,2010,Individual,1st owner,42000,,14,9,3000.0,250.0,Bajaj
492,Bajaj Avenger Street 150 [2018],75000.0,2016,Individual,1st owner,35000,80435.0,8,7,4375.0,364.583,Bajaj
